id,eval_unit_id,project_id,organism,service_center,street_num,street_name,muni,postal_code,num_dwellings,num_floors,area_footprint,area_total,ivp,disrepair_state,interest_adjust_date,contract_end_date,category,building_id
43492,66023884266631540000000,50158,Coop.Hab. Multi-Ethnique Mtl,CS FECHIMM,2600,rue Grenet,Montréal,H4L 5E8,27,5,704.13,2978.59,50.20,E,1988-04-01,2023-04-01,MULTIFAMILIAL,169864
98906,66023975430884680000000,50045,Coop.Hab. Multic.Coeur-à-coeur,CS FECHIMM,11740,avenue Fernand-Gauthi,Montréal,H1E 7E3,16,2,1055.29,2117.80,6.70,B,1991-09-01,2026-09-01,MULTIFAMILIAL,165012
99105,66023975430884680000000,50045,Coop.Hab. Multic.Coeur-à-coeur,CS FECHIMM,11720,avenue Fernand-Gauthi,Montréal,H1E 7E3,16,2,525.84,2103.36,6.60,B,1991-09-01,2026-09-01,MULTIFAMILIAL,165034
43680,66023993734061580000000,50212,Coop.Hab. Naufragés Pte St-Ch.,CS FECHIMM,2745,rue Grand Trunk,Montréal,H3K 1N1,24,3,785.27,2414.16,7.60,B,1990-10-01,2025-10-01,MULTI. JUMELE OU EN RANGEE,169621
41403,66023993930300610000000,50209,Coop.Hab. Oasis du Sud-Ouest,CS FECHIMM,1650,rue Saint-Jacques,Montréal,H3J 2W4,24,3,617.90,2472.00,1.20,A,1988-11-01,2023-11-01,MULTI. JUMELE OU EN RANGEE,173250
99013,66023003785238980000000,50512,Coop.Hab. Parchemin,CS FECHIMM,250,rue Frank-Selke,Montréal,H3K 3J9,11,3,311.06,1205.71,34.40,E,1995-01-01,2030-01-01,MULTI. JUMELE OU EN RANGEE,165126
43525,66023994554514780000000,50211,Coop.Hab. Préludes,CS FECHIMM,4832,boulevard Saint-Michel,Montréal,H1Y 3G3,24,3,558.30,2252.16,24.80,D,1989-02-01,2024-02-01,MULTI. JUMELE OU EN RANGEE,169890
37236,66023014673739480000000,50329,Coop.Hab. Shalom,CS FECHIMM,2122,rue Leclaire,Montréal,H1V 2Z9,19,3,774.47,2471.72,18.20,D,1993-04-01,2028-04-01,MULTIFAMILIAL,168571
98862,66023024618581810000000,50540,Coop.Hab. Ville-Marie,CS FECHIMM,5150,rue Ontario Est,Montréal,H1V 3V2,22,3,676.16,2541.80,14.30,C,1995-01-01,2030-01-01,MULTIFAMILIAL,165071
44413,23027509087695610000000,50084,Corp. Habitation de Giffard,CS FROHQC,2233,avenue Des Martyrs,Québec,G1E 7E4,31,4,504.00,2016.00,14.30,C,1990-06-01,2025-06-01,MULTIFAMILIAL,162363
50352,23027489306252610000000,50357,Habitation Action-Sourds,CS FROHQC,1545,rue Édith,Québec,G2L 2G1,22,4,475.17,1900.68,6.70,B,1992-12-01,2027-12-01,MULTIFAMILIAL,161221
3054,23027479352174610000000,50099,Pav.des Vétérans Charlesbourg,CS FROHQC,750,avenue Des Diamants E,Québec,G2L 2R2,24,3,491.04,1473.12,34.30,E,1990-08-01,2025-08-01,MULTIFAMILIAL,171662
43746,12010069800586100000000,50131,Pavillon Durocher,CS FROHQC,5,rue Principale Sud,Saint-Hubert-de-Rivière-du-Lou,G0L 3L0,24,1,1431.69,1431.69,8.20,B,1990-12-01,2025-12-01,MULTIFAMILIAL,169540
3006,23027449264249110000000,50224,Rés.Anc.Combattants Charlesbou,CS FROHQC,1560,rue Du Périgord,Québec,G1G 6N1,20,3,549.54,1373.85,18.10,D,1988-07-01,2023-07-01,MULTIFAMILIAL,171651
49545,23027488813231510000000,50350,Résidence Roc-Amadour,CS FROHQC,54,boulevard Des Alliés,Québec,G1L 1Y2,33,3,865.28,3203.06,9.00,B,1992-06-01,2027-06-01,MULTIFAMILIAL,161162
27300,23027488705312610000000,50166,Résidences Caecitas,CS FROHQC,1592,rue De La Pointe-Aux-Li,Québec,G1L 4M8,17,3,500.00,1500.00,18.10,D,1987-10-01,2022-10-01,MULTIFAMILIAL,174451
27296,23027488705000110000000,50081,Résidences Caecitas,CS FROHQC,1600,rue De La Pointe-Aux-Li,Québec,G1L 4M8,17,3,476.75,1393.36,7.20,B,1990-01-01,2025-01-01,MULTIFAMILIAL,174344
46911,23027419300596510000000,50506,Résidences Curé Lapierre,CS FROHQC,1850,rue Des Tricornes,Québec,G3E 1X9,25,2,1035.26,2004.22,6.60,B,1994-09-01,2029-09-01,MULTIFAMILIAL,165734
43293,05032482144040200000000,1785,Oh de Baie des Chaleurs,CS Gaspésie,128,rue Lemarquand,Paspébiac,G0C 2K0,30,2,833.59,2087.86,25.40,D,1979-04-01,2029-04-01,MULTIFAMILIAL,41672
27473,05070033669142900000000,1837,Oh de Baie des Chaleurs,CS Gaspésie,104,rue Robichaud,New Richmond,G0C 2B0,21,2,814.11,1628.22,21.30,D,1980-07-01,2014-12-01,MULTIFAMILIAL,54574
43315,05045302377691100000000,1698,Oh de Baie des Chaleurs,CS Gaspésie,117,avenue Louisbourg,Bonaventure,G0C 1E0,15,2,554.50,1109.00,27.10,D,1977-04-01,2027-04-01,MULTIFAMILIAL,41370
43385,05045302377691100000000,1698,Oh de Baie des Chaleurs,CS Gaspésie,119,avenue Louisbourg,Bonaventure,G0C 1E0,15,2,554.50,1109.00,27.50,D,1977-04-01,2027-04-01,MULTIFAMILIAL,41381
83764,05070033772153400000000,2850,Oh de Baie des Chaleurs,CS Gaspésie,146,Terry Fox,New Richmond,G0C 2B0,18,3,646.45,1932.84,7.80,B,1990-01-01,2025-01-01,MULTI. JUMELE OU EN RANGEE,137023
27565,06013083041089200000000,1838,Omh de Carleton-Saint-Omer,CS Gaspésie,5,rue De La Fabrique,Carleton-sur-Mer,G0C 1J0,21,2,811.26,1622.52,15.90,D,1980-07-01,2014-12-01,MULTIFAMILIAL,54110
43153,02028915698385600000000,1784,Omh de Chandler,CS Gaspésie,436,avenue Du Domaine,Chandler,G0C 1K0,16,3,479.79,1428.70,34.90,E,1980-01-01,2030-01-01,MULTIFAMILIAL,41823
43186,02028915698385600000000,1784,Omh de Chandler,CS Gaspésie,434,avenue Du Domaine,Chandler,G0C 1K0,16,3,479.79,1428.70,33.60,E,1980-01-01,2030-01-01,MULTIFAMILIAL,41801
40611,02028915753739300000000,3115,Omh de Chandler,CS Gaspésie,131,Mgr Ross,Chandler,G0C 1K0,6,3,175.40,526.30,20.00,D,1991-12-01,2026-12-01,MULTIFAMILIAL,158244
40622,02028915753739300000000,3115,Omh de Chandler,CS Gaspésie,91,Mgr Ross,Chandler,G0C 1K0,12,3,378.30,1134.80,18.60,D,1991-12-01,2026-12-01,MULTI. JUMELE OU EN RANGEE,158410
44542,02028915753739300000000,3115,Omh de Chandler,CS Gaspésie,121,Mgr Ross,Chandler,G0C 1K0,12,3,378.30,1134.80,22.70,D,1991-12-01,2026-12-01,MULTI. JUMELE OU EN RANGEE,156811
43175,02028915698385600000000,1784,Omh de Chandler,CS Gaspésie,432,avenue Du Domaine,Chandler,G0C 1K0,18,3,563.89,1691.68,3.70,A,1980-01-01,2030-01-01,MULTIFAMILIAL,41812
24754,03005060953924600000000,1835,Omh de Gaspé,CS Gaspésie,14,rue Frémont,Gaspé,G4X 2B8,21,2,811.26,1622.52,9.20,B,1981-01-01,2015-12-01,MULTIFAMILIAL,42313
27543,06005173800248500000000,2016,Omh de Maria,CS Gaspésie,450,rue Des Chardonnerets,Maria,G0C 1Y0,20,2,644.34,1294.16,20.50,D,1982-01-01,2016-11-01,MULTIFAMILIAL,54132
24743,02005257676921500000000,2262,Omh de Percé,CS Gaspésie,15,rue Du Cap Barré,Percé,G0C 2L0,21,2,715.00,1430.00,2.50,A,1985-06-01,2020-02-01,MULTIFAMILIAL,42136
26880,06030652083392100000000,1839,Omh de Pointe-à-la-Croix,CS Gaspésie,47,rue Chaleur,Pointe-à-la-Croix,G0C 1L0,21,2,814.11,1628.22,21.10,D,1980-07-01,2014-12-01,MULTIFAMILIAL,54600
43271,02047713805001600000000,2271,Omh de Port-Daniel-Gascons,CS Gaspésie,405,Capitaine Fournier,Port-Daniel--Gascons,G0C 2N0,11,2,415.90,831.80,3.50,A,1985-09-01,2020-02-01,MULTIFAMILIAL,41624
43282,02047713805001600000000,2271,Omh de Port-Daniel-Gascons,CS Gaspésie,407,Capitaine Fournier,Port-Daniel--Gascons,G0C 2N0,6,2,300.00,591.50,3.70,A,1985-09-01,2020-02-01,MULTI. JUMELE OU EN RANGEE,41646
43326,05055252627771100000000,2018,Omh de St-Siméon,CS Gaspésie,134,route Poirier,Saint-Siméon,G0C 3A0,16,2,655.42,1304.96,7.30,B,1983-04-01,2017-06-01,MULTIFAMILIAL,41366
42195,01023026888711500000000,2261,Omh des Iles-de-la-Madeleine,CS Gaspésie,405,route 199,Les Îles-de-la-Madeleine,G4T 7A5,6,2,303.85,641.50,31.90,E,1985-09-01,2020-02-01,MULTIFAMILIAL,126416
42173,01023764853957100000000,1691,Omh des Iles-de-la-Madeleine,CS Gaspésie,594,chemin Principal,Les Îles-de-la-Madeleine,G4T 1E9,17,2,733.36,1352.48,24.20,D,1979-01-01,2029-01-01,MULTIFAMILIAL,126291
43396,01023744811682000000000,2001,Omh des Iles-de-la-Madeleine,CS Gaspésie,1320,chemin De La Vernière,Les Îles-de-la-Madeleine,G4T 3G2,20,2,740.46,1480.92,10.20,C,1982-01-01,2016-11-01,MULTIFAMILIAL,126044
