address,duplicate_address,code geographique,territory,cubf,serial_number,lin_dim,area,max_num_floor,construction year,year_real_esti,floor_area,code_phys_conn,type_const,num_dwell,num_rental,num_non_res,value_prop,code_arrondissement,nom_arrondissement
900 boulevard du FORT-SAINT-LOUIS,9999,58033,Boucherville,6812,0954 21 5641,165.8,16328.8,1,1966,R,2842,1,9999,9999,9999,1,4964800,9999,9999
570 boulevard de MORTAGNE,9999,58033,Boucherville,6812,1050 04 7918,86.39,6254.1,3,1996,R,9999,9999,9999,9999,9999,1,6260500,9999,9999
850 rue ÉTIENNE-BRÛLÉ,9999,58033,Boucherville,6812,1051 13 5634,85.76,12846.4,2,1983,R,4779.1,1,9999,9999,9999,1,6000600,9999,9999
481 chemin PRINCIPAL,9999,96030,Pointe-aux-Outardes,6812,3838 82 2577,121.92,16173.9,2,1991,R,9999,9999,9999,9999,9999,1,2074300,9999,9999
95 avenue du PARC,9999,7047,Amqui,6813,0969 31 2016,249.32,121072.7,2,9999,9999,9999,9999,9999,9999,9999,1,17058900,9999,9999
50 rue ROY,9999,7047,Amqui,6812,0969 34 0388,21.11,15538.9,2,9999,9999,9999,9999,9999,9999,9999,1,2579600,9999,9999
123 rue DESBIENS,9999,7047,Amqui,6812,0970 80 1201,153.97,32352.3,5,9999,9999,9999,9999,9999,1,9999,10,9077900,9999,9999
1228 1230 chemin de l' Église,9999,71020,Saint-Polycarpe,6812,4118 92 9807,64.01,8503.4,2,9999,9999,9999,9999,9999,9999,9999,2,1283400,9999,9999
1840 chemin PRINCIPAL,9999,51070,Saint-Mathieu-du-Parc,6812,4959 05 6759,6309,9859.2,9999,1960,R,9999,9999,9999,9999,9999,1,2176300,9999,9999
305 rue du CHANOINE-CÔTÉ,9999,11040,Trois-Pistoles,6812,0232 81 2590,111.36,7299.7,2,1962,R,1103.7,1,9999,9999,9999,1,803300,9999,9999
455 rue JENKIN,9999,11040,Trois-Pistoles,6813,0331 49 9358,628.31,102016.3,3,1969,R,9999,9999,9999,9999,9999,1,18111100,9999,9999
9 15 rue NOTRE-DAME E,9999,11040,Trois-Pistoles,6812,0332 47 1231,44.56,4079.2,3,1912,R,9999,9999,9999,9999,9999,7,1763600,9999,9999
286 rue LANGLAIS,9999,11040,Trois-Pistoles,6812,0332 56 8629,80.7,5048.8,2,1956,R,1398.3,1,9999,9999,9999,1,1709800,9999,9999
84 rue RAYMOND,9999,11040,Trois-Pistoles,6812,0332 94 9447,89.14,10242.2,2,1967,R,1103.7,1,9999,9999,9999,1,947400,9999,9999
183 rue JEANNE-D'ARC,9999,80037,Papineauville,6812,2054 22 6569,44.11,5513.8,1,1960,R,525.4,1,9999,9999,9999,1,785200,9999,9999
3 9 rue du PORTAGE,,99015,Matagami,6812,2313 77 8618,155.77,28070.1,2,1962,R,2795.3,1,9999,9999,9999,3,5308800,9999,9999
150 rue du CINQUANTENAIRE,9999,54025,Sainte-Madeleine,6812,3650 52 5998,73.15,8247,2,1961,R,2758.8,1,9999,9999,9999,9999,3809200,9999,9999
950 rue HEBERT,9999,54025,Sainte-Madeleine,6811,3650 63 4501,39.62,4265.6,1,1952,R,289.4,1,9999,9999,9999,1,631800,9999,9999
2750 2E AVENUE OUEST,9999,93065,L'Ascension-de-Notre-Seigneur,6812,1895 34 8974,57.43,7706.8,2,1960,R,1742.2,1,9999,9999,9999,1,3228300,9999,9999
441 rue de l' ECOLE,9999,32023,Sainte-Sophie-d'Halifax,6812,1113 41 0375,118.87,12395.7,2,1960,R,1617.6,1,9999,9999,9999,1,955500,9999,9999
27 rue Lévis,9999,12072,Rivière-du-Loup,6811,7600 85 6153 0003,35.05,318.3,1,1900,R,208,5,5,9999,9999,1,258900,9999,9999
56 rue Saint-Henri,9999,12072,Rivière-du-Loup,6813,7698 95 7583 001 0001,191.06,14245.6,3,1925,R,33.5,1,1,9999,9999,1,6679500,9999,9999
72 rue Joly,9999,12072,Rivière-du-Loup,6812,7699 67 4033,156.67,31364.9,1,1969,R,2680,1,9999,9999,9999,1,2945800,9999,9999
55 rue du Rocher,9999,12072,Rivière-du-Loup,6812,7700 03 2524,92.17,8482.3,2,1958,R,9999,9999,9999,9999,9999,1,3250500,9999,9999
8 à rue Pouliot,9999,12072,Rivière-du-Loup,6812,7798 16 1997,99.56,10359.8,5,1992,R,9999,9999,9999,9999,9999,1,4310800,9999,9999
30 rue Delage,9999,12072,Rivière-du-Loup,6813,7798 28 4506,60.96,6333.7,3,9999,9999,9999,9999,9999,9999,9999,1,2803400,9999,9999
